p.total_normA = 4096.531250
p.total_normB = 4096.532227
[info] elements obtained by MM and AMM
my kernel,cuBLAS
-18.069794, -21.175768
-2.802425, -22.520987
25.759188, 20.925900
-56.378799, -50.640259
-17.061636, 0.669285
57.210461, 55.086727
-33.078640, -36.579411
-67.868248, -69.902451
-118.266731, -118.682709
-49.352798, -36.848289
43.840973, 39.486870
-105.775208, -108.525909
33.457478, 31.462151
-35.435944, -42.477188
-51.093208, -44.553818
10.496958, 2.942757
83.061119, 94.142265
-89.148720, -64.778404
-46.584625, -39.557285
42.568264, 32.383965
53.051292, 40.586987
-44.364552, -38.972515
20.151237, 9.749552
146.907532, 140.124832
82.686661, 89.705215
-24.918663, -17.011265
41.907154, 42.167225
57.872604, 53.196308
-29.994223, -11.575502
-18.256197, -24.221416
-41.260651, -39.267395
-25.589687, -32.516083
-48.502354, -35.446716
-114.752991, -111.512146
64.597038, 69.001640
15.193547, 22.553625
-20.100748, -21.094824
63.787170, 59.056122
9.277284, 8.596932
12.830728, 9.319815
-24.231077, -19.578585
21.491034, 28.430635
25.847977, 27.056391
-27.776728, -28.367271
-24.336306, -30.871990
-151.872299, -145.406021
-81.246117, -72.851555
27.189415, 33.144859
60.632133, 56.076740
121.664024, 125.661842
-37.249107, -36.381496
49.350536, 58.401062
-8.799976, 5.804286
6.773945, -5.286528
-15.245399, -23.130629
17.953495, 27.730253
-40.465607, -33.716801
-36.740208, -36.229538
-64.091652, -55.494186
33.584000, 32.049610
-54.352562, -59.282982
4.122044, 6.685166
-30.680927, -21.905481
-25.302588, -27.991791
21.848059, 16.448841
-0.275880, -8.950474
46.167713, 43.554150
-27.295893, -12.628322
-65.269249, -78.481743
-14.704082, -10.017266
93.146233, 100.820366
-19.309795, -19.281574
86.573677, 97.425911
-118.058517, -107.498810
-40.630512, -39.874931
68.779938, 62.204720
91.951767, 81.558517
-81.401909, -64.886116
-64.636604, -73.674370
-35.854385, -37.560925
-7.715523, -11.048845
-67.636337, -61.745468
-47.316315, -49.912586
-66.948914, -71.155952
2.130033, -5.599235
29.096935, 38.085621
89.054916, 92.896576
-118.726089, -117.992462
-37.429184, -38.133183
21.835426, 21.157263
4.150678, 3.706778
29.008018, 35.655712
9.840809, 9.891855
13.536062, 10.825266
-21.085321, -23.439178
-44.209892, -44.458744
105.742119, 102.253181
92.848213, 94.351173
56.368130, 51.625172
34.071884, 35.511669
-6.881222, -11.687021
-13.374855, -17.773134
71.791222, 70.556633
99.447441, 92.806694
-123.743217, -132.819580
58.888142, 58.540958
48.619980, 54.448082
78.274857, 93.051445
-6.788197, -3.252212
49.497543, 54.019764
-38.851952, -44.711346
-41.306709, -38.381104
-4.356509, -10.825736
-8.624775, -10.366096
2.610776, -1.033188
45.614246, 47.053265
32.341343, 41.733162
-114.416962, -110.774094
-65.221542, -64.238922
29.338409, 31.703720
113.521790, 109.130081
20.109758, 9.221617
-19.810225, -19.584089
51.194759, 47.335094
42.608665, 44.259731
100.249977, 104.244118
19.635061, 28.355541
-41.150059, -43.323681
22.539791, 29.428162
42.532883, 56.883049
18.274620, 19.024090
116.442955, 105.266273
-16.419147, -23.180069
32.394905, 35.877033
-92.195824, -99.142815
-138.981628, -140.882416
22.285011, 23.506500
24.308435, 19.786003
-25.641304, -24.108673
19.875916, 27.004505
-104.291214, -115.186089
48.142975, 45.158085
64.378860, 70.831680
17.399010, 18.006041
46.432777, 48.078041
-28.439043, -25.368774
112.819572, 105.961594
42.361740, 45.794304
81.811752, 75.004295
